h = 0.01, T = 200, nsteps = 20000
freq = 0.0895398, amp = 0.1, ncyc = 5
delaystart = 5, delaystep = 50, numdelays = 20
5, 0.31119677088744074
55, 0.24224875808457794
105, 0.16946619523278114
155, 0.10608891305867026
205, 0.0001146912354291736
255, 1.4419505850966355e-05
305, 2.0234333947753504e-06
355, 5.02041949877287e-07
405, 1.8752918266213771e-07
455, 7.7045624622955278e-08
505, 3.3320082656316898e-08
555, 1.4880323627999871e-08
605, 6.8525446350337614e-09
655, 3.3798550445344078e-09
705, 1.8185362982130751e-09
755, 1.1630225189021705e-09
805, 7.8560685259564537e-10
855, 4.260106998788359e-10
905, 2.9988166925393763e-10
955, 1.7753689350385047e-10
